Spotting ID,Bee Spotter,Date Spotted,Date Submitted,Title,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Sex,Caste,Spotting URL,Number of Days Between Date Spotted and Date Added to Site,Photo ID,Rating,Has Pollen on Legs,Flower,Image URL
1092,Gretchen,6/20/2003,1/24/2009,Bee in DeKalb,419.183.499,-887.589.572,,Apis mellifera,,f,f,,,https://beespotter.org/bee/1092,2045,1863,8,No,,https://beespotter.org/beedata/bees/1092-1.jpg
132,bmovie,9/2/2004,11/22/2007,Tomato Garden Bee,3.854.725.920.476.960,-900.179.386.138.916,,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/132,1176,271,8,No,,https://beespotter.org/beedata/bees/132-1.jpg
327,aurthur2sheds,7/12/2005,6/26/2008,map_test_trial,40.332.715.559.869.400,-887.679.648.399.353,,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/327,1080,579,10,Yes,,https://beespotter.org/beedata/bees/327-1.jpg
403,HaarFager,4/19/2006,7/7/2008,Bombus Impatiens 1,3.798.067.170.307.880,-883.326.530.456.543,,Bombus griseocollis,,f,f,female,Queen,https://beespotter.org/bee/403,810,721,10,No,,https://beespotter.org/beedata/bees/403-1.jpg
213,CityEcology,5/4/2006,5/2/2008,BB 20060504,393.072.064.165.576,-765.523.910.522.461,Bombus impatiens,Bombus impatiens,,f,f,female,Queen,https://beespotter.org/bee/213,729,384,,No,,https://beespotter.org/beedata/bees/213-1.jpg
2744,almostincognito,5/31/2006,10/29/2012,bumble1,41.675.606,-88.197.355,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/2744,2343,4484,9,Yes,,https://beespotter.org/beedata/bees/2744-3.jpg
2744,almostincognito,5/31/2006,10/29/2012,bumble1,41.675.606,-88.197.355,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/2744,2343,4483,7,Yes,,https://beespotter.org/beedata/bees/2744-2.jpg
2744,almostincognito,5/31/2006,10/29/2012,bumble1,41.675.606,-88.197.355,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/2744,2343,4482,7,Yes,,https://beespotter.org/beedata/bees/2744-1.jpg
1203,dfsears,6/6/2006,7/2/2009,Back to the Hive,400.959.352,-88.219.043,Bombus griseocollis,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/1203,1122,2024,10,Yes,,https://beespotter.org/beedata/bees/1203-1.jpg
218,CityEcology,6/11/2006,5/2/2008,BB 20070611,3.930.959.722.211.240,-7.654.792.785.644.530,Bombus auricomus,Bombus auricomus,,f,f,female,Worker,https://beespotter.org/bee/218,691,393,,No,,https://beespotter.org/beedata/bees/218-1.jpg
2745,almostincognito,7/27/2006,10/29/2012,Bumble2,41.843.222.334.543.600,-880.612.564.086.914,Bombus auricomus,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/2745,2286,4486,8,Yes,,https://beespotter.org/beedata/bees/2745-2.jpg
2745,almostincognito,7/27/2006,10/29/2012,Bumble2,41.843.222.334.543.600,-880.612.564.086.914,Bombus auricomus,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/2745,2286,4485,10,Yes,,https://beespotter.org/beedata/bees/2745-1.jpg
1315,evelyne,9/9/2006,8/9/2009,2/2006,38.473.207,-90.376.915,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/1315,1065,2206,10,No,,https://beespotter.org/beedata/bees/1315-1.jpg
404,HaarFager,10/1/2006,7/8/2008,Bombus Impatiens Mating Pair,3.798.053.639.629.860,-8.833.419.799.804.680,,Bombus impatiens,,f,f,female,Queen,https://beespotter.org/bee/404,646,722,10,No,,https://beespotter.org/beedata/bees/404-1.jpg
139,Steve_Scott,3/25/2007,12/14/2007,Apis mellifera,3.838.203.645.248.700,-8.831.514.358.520.500,,Apis mellifera,,f,f,,,https://beespotter.org/bee/139,264,275,6,Yes,,https://beespotter.org/beedata/bees/139-1.jpg
214,CityEcology,5/6/2007,5/2/2008,BB 20070506,39.309.464.401.724.400,-7.655.393.600.463.860,Bombus impatiens,Bombus impatiens,,f,f,female,Queen,https://beespotter.org/bee/214,362,385,,No,,https://beespotter.org/beedata/bees/214-1.jpg
215,CityEcology,5/22/2007,5/2/2008,BB 20070522,3.930.999.568.176.380,-7.654.827.117.919.920,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/215,346,386,,No,,https://beespotter.org/beedata/bees/215-1.jpg
1314,evelyne,5/26/2007,8/9/2009,1/2007,38.473.207,-90.376.915,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/1314,806,2205,10,Yes,,https://beespotter.org/beedata/bees/1314-3.jpg
1314,evelyne,5/26/2007,8/9/2009,1/2007,38.473.207,-90.376.915,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/1314,806,2204,10,Yes,,https://beespotter.org/beedata/bees/1314-2.jpg
1314,evelyne,5/26/2007,8/9/2009,1/2007,38.473.207,-90.376.915,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/1314,806,2203,10,Yes,,https://beespotter.org/beedata/bees/1314-1.jpg
1316,evelyne,5/29/2007,8/9/2009,2/2007,38.473.207,-90.376.915,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/1316,803,2207,10,No,,https://beespotter.org/beedata/bees/1316-1.jpg
219,CityEcology,6/1/2007,5/2/2008,BB 20070601,3.931.105.822.974.200,-7.655.393.600.463.860,Bombus pensylvanicus,Bombus pensylvanicus,,f,f,female,Queen,https://beespotter.org/bee/219,336,394,,No,,https://beespotter.org/beedata/bees/219-1.jpg
216,CityEcology,6/6/2007,5/2/2008,BB 20070606,3.930.919.876.019.210,-7.654.792.785.644.530,Bombus fervidus,Bombus fervidus,,f,f,female,Worker,https://beespotter.org/bee/216,331,389,,No,,https://beespotter.org/beedata/bees/216-3.jpg
